"","model","parameter.set.j.","measure"
"1","forest.fire",0.01,"betweenness"
"2","forest.fire",0.0366666666666667,"betweenness"
"3","forest.fire",0.0633333333333333,"betweenness"
"4","forest.fire",0.09,"betweenness"
"5","forest.fire",0.116666666666667,"betweenness"
"6","forest.fire",0.143333333333333,"betweenness"
"7","forest.fire",0.17,"betweenness"
"8","forest.fire",0.196666666666667,"betweenness"
"9","forest.fire",0.223333333333333,"betweenness"
"10","forest.fire",0.25,"betweenness"
"11","preferential.attachment",1,"betweenness"
"12","preferential.attachment",1.22222222222222,"betweenness"
"13","preferential.attachment",1.44444444444444,"betweenness"
"14","preferential.attachment",1.66666666666667,"betweenness"
"15","preferential.attachment",1.88888888888889,"betweenness"
"16","preferential.attachment",2.11111111111111,"betweenness"
"17","preferential.attachment",2.33333333333333,"betweenness"
"18","preferential.attachment",2.55555555555556,"betweenness"
"19","preferential.attachment",2.77777777777778,"betweenness"
"20","preferential.attachment",3,"betweenness"
"21","random.graph",2e-04,"betweenness"
"22","random.graph",3e-04,"betweenness"
"23","random.graph",4e-04,"degree"
"24","random.graph",5e-04,"degree"
"25","random.graph",6e-04,"degree"
"26","random.graph",7e-04,"degree"
"27","random.graph",8e-04,"degree"
"28","random.graph",9e-04,"degree"
"29","random.graph",0.001,"degree"
"30","small.world",0.001,"betweenness"
"31","small.world",0.001,"degree"
"32","small.world",0.00144444444444444,"betweenness"
"33","small.world",0.00144444444444444,"degree"
"34","small.world",0.00188888888888889,"betweenness"
"35","small.world",0.00188888888888889,"degree"
"36","small.world",0.00233333333333333,"degree"
"37","small.world",0.00277777777777778,"degree"
"38","small.world",0.00322222222222222,"degree"
"39","small.world",0.00366666666666667,"degree"
"40","small.world",0.00411111111111111,"degree"
"41","small.world",0.00455555555555556,"degree"
"42","small.world",0.005,"degree"
