"","dataset","measure","chi","ks","f","chd","ed","js","jj","jd"
"2","amazon.tests.RData","d","0","0","0","0","0","0","0","0"
"3","amazon.tests.RData","b","0","0","0","0","0","4.3310577099831e-05","0","0"
"4","amazon.tests.RData","l","0","0","0","0","0","0","0","0"
"5","amazon.tests.RData","c","0","0","0","0","0","0","0","0"
"6","citations.tests.RData","d","0","0","0","0.000900000000000012","0","0","0","0"
"7","citations.tests.RData","b","0.000325951222488685","0.00349999999999995","0.000199999999999978","0.000399999999999956","0","0.631920548810768","0","0.000325951222488685"
"8","citations.tests.RData","l","0","0","0","0","0","0","0","0"
"9","citations.tests.RData","c","0","0","0","0","0","0","0","0"
"10","dblp.tests.RData","d","0","0","0","0","0","0","0","0"
"11","dblp.tests.RData","b","0","0","0","0","0","0","0","0"
"12","dblp.tests.RData","l","0","0","0","0","0","0","0","0"
"13","dblp.tests.RData","c","0","0","0","0","0","0","0","0"
"14","enron.tests.RData","d","0","0","0","0","0","4.90367080274723e-10","0","0"
"15","enron.tests.RData","b","1.11022302462516e-16","0.000399999999999956","0.000199999999999978","0","0","0.0272374987824677","0","1.11022302462516e-16"
"16","enron.tests.RData","l","0","0","0","0","0","0","0","0"
"17","enron.tests.RData","c","0","0","0","0","0","0","0","0"
"18","facebook.tests.RData","d","0.00030230131872877","9.9999999999989e-05","0","0","0","0.0282508432947248","0.0013","0.00030230131872877"
"19","facebook.tests.RData","b","0.0482647308467823","0.0365","0.0527","0.4217","0.2069","0.115615900159875","0.1829","0.0482647308467824"
"20","facebook.tests.RData","l","0","0","0","0","0","0","0","0"
"21","facebook.tests.RData","c","0","0","0","0","0","0","0","0"
"22","gnutella.tests.RData","d","0","0","0","0","0","0","0","0"
"23","gnutella.tests.RData","b","0","0","0","0","0","0","0","0"
"24","gnutella.tests.RData","l","0","0","0","0","0","0","0","0"
"25","gnutella.tests.RData","c","0","0","0","0","0","0","0","0"
"26","physics.tests.RData","d","0","0","0","0","0","1.49123158266207e-10","0","0"
"27","physics.tests.RData","b","0.000125838206050832","0.002","0.0118","0.0435","0.00280000000000002","0.00117506255260036","0.0419","0.000125838206050832"
"28","physics.tests.RData","l","0","0","0","0","0","0","0","0"
"29","physics.tests.RData","c","0","0","0","0","0","0","0","0"
"30","slashdot.tests.RData","d","0","0","0","0","0","0","0","0"
"31","slashdot.tests.RData","b","0","0","0","0","0","0","0","0"
"32","slashdot.tests.RData","l","0","0","0","0","0","0","0","0"
"33","slashdot.tests.RData","c","0","0","0","0","0","0","0","0"
"34","twitter.tests.RData","d","0","0","0","0","0","0","0","0"
"35","twitter.tests.RData","b","0.779585716372868","0.4109","0.6778","0.7204","0.7474","0.211588562632369","0.8252","0.779585716372875"
"36","twitter.tests.RData","l","0","0","0","0","0","0","0","0"
"37","twitter.tests.RData","c","0","0","0","0","0","0","0","0"
"38","wikipedia.tests.RData","d","0","0","0","0","0","0","0","0"
"39","wikipedia.tests.RData","b","1.95637728239717e-10","0.000299999999999967","0.000499999999999945","9.9999999999989e-05","0.000399999999999956","0.030157929180987","0","1.95637728239717e-10"
"40","wikipedia.tests.RData","l","0","0","0","0","0","0","0","0"
"41","wikipedia.tests.RData","c","0","0","0","0","0","0","0","0"
